pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name
1122,NA,recip,1.5,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c31da6ec3.svg,turk22,NA,recip_pos_easy_2.csv
1123,NA,recip,1.5,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7fc3cdcb.svg,turk22,NA,recip_pos_easy_3.csv
3121,NA,recip,1.3,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5ce5b793.svg,turk22,NA,recip_pos_hard_1.csv
3122,NA,recip,1.3,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c45d57ef6.svg,turk22,NA,recip_pos_hard_2.csv
3123,NA,recip,1.3,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c16efe06c.svg,turk22,NA,recip_pos_hard_3.csv
2121,NA,recip,1.4,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c30c104ca.svg,turk22,NA,recip_pos_med_1.csv
2122,NA,recip,1.4,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4912ace2.svg,turk22,NA,recip_pos_med_2.csv
2123,NA,recip,1.4,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6e78c6c4.svg,turk22,NA,recip_pos_med_3.csv
1261,NA,samettp,NA,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6c60c781.svg,turk22,NA,samettp_neg_easy_1.csv
1262,NA,samettp,NA,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4b24ecb7.svg,turk22,NA,samettp_neg_easy_2.csv
1263,NA,samettp,NA,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5016ea4.svg,turk22,NA,samettp_neg_easy_3.csv
3261,NA,samettp,NA,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c47ab918a.svg,turk22,NA,samettp_neg_hard_1.csv
3262,NA,samettp,NA,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c18697602.svg,turk22,NA,samettp_neg_hard_2.csv
3263,NA,samettp,NA,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6171c53f.svg,turk22,NA,samettp_neg_hard_3.csv
2261,NA,samettp,NA,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c3a25b1da.svg,turk22,NA,samettp_neg_med_1.csv
2262,NA,samettp,NA,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23cc52b92f.svg,turk22,NA,samettp_neg_med_2.csv
2263,NA,samettp,NA,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c227fc5.svg,turk22,NA,samettp_neg_med_3.csv
1161,NA,samettp,4,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c1bff0503.svg,turk22,NA,samettp_pos_easy_1.csv
1162,NA,samettp,4,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c52091e09.svg,turk22,NA,samettp_pos_easy_2.csv
1163,NA,samettp,4,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4ee483c6.svg,turk22,NA,samettp_pos_easy_3.csv
3161,NA,samettp,2.5,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c52d808d3.svg,turk22,NA,samettp_pos_hard_1.csv
3162,NA,samettp,2.5,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c690967f9.svg,turk22,NA,samettp_pos_hard_2.csv
3163,NA,samettp,2.5,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c49a48f3f.svg,turk22,NA,samettp_pos_hard_3.csv
2161,NA,samettp,3,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7b082ef0.svg,turk22,NA,samettp_pos_med_1.csv
2162,NA,samettp,3,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c59a8ade8.svg,turk22,NA,samettp_pos_med_2.csv
2163,NA,samettp,3,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4bfaa7e8.svg,turk22,NA,samettp_pos_med_3.csv
1251,NA,simttb,-3,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c20df77cf.svg,turk22,NA,simttb_neg_easy_1.csv
1252,NA,simttb,-3,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c8b61d5f.svg,turk22,NA,simttb_neg_easy_2.csv
1253,NA,simttb,-3,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c456b1d3e.svg,turk22,NA,simttb_neg_easy_3.csv
3251,NA,simttb,-1,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c419e6d7c.svg,turk22,NA,simttb_neg_hard_1.csv
3252,NA,simttb,-1,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4fe46037.svg,turk22,NA,simttb_neg_hard_2.csv
3253,NA,simttb,-1,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7181d926.svg,turk22,NA,simttb_neg_hard_3.csv
2251,NA,simttb,-2,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23cd68cb08.svg,turk22,NA,simttb_neg_med_1.csv
2252,NA,simttb,-2,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7f8422c4.svg,turk22,NA,simttb_neg_med_2.csv
2253,NA,simttb,-2,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c545f20e0.svg,turk22,NA,simttb_neg_med_3.csv
1151,NA,simttb,2,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7238562e.svg,turk22,NA,simttb_pos_easy_1.csv
1152,NA,simttb,2,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7031611d.svg,turk22,NA,simttb_pos_easy_2.csv
1153,NA,simttb,2,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c279d5b40.svg,turk22,NA,simttb_pos_easy_3.csv
3151,NA,simttb,1.5,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c76834e1f.svg,turk22,NA,simttb_pos_hard_1.csv
3152,NA,simttb,1.5,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c117a656c.svg,turk22,NA,simttb_pos_hard_2.csv
3153,NA,simttb,1.5,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5035e269.svg,turk22,NA,simttb_pos_hard_3.csv
2151,NA,simttb,1.75,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c327aefa3.svg,turk22,NA,simttb_pos_med_1.csv
2152,NA,simttb,1.75,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7ecd0ff6.svg,turk22,NA,simttb_pos_med_2.csv
2153,NA,simttb,1.75,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c297a6b9d.svg,turk22,NA,simttb_pos_med_3.csv
