"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
5,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","8ca24f0ef7c9bb3a607e48592e44940b.svg","turk16",140,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","cb4bb4a7141622de4e671f84f2e6943f.svg","turk16",141,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","de120f4ef0529af23c1ee274d9d7f1d9.svg","turk16",142,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","010d4510e3d00ceafc97a9cc02715bd9.svg","turk16",143,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","a4c46de9266b0d2ead3df5ac1ca1db57.svg","turk16",144,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","d67bc955c41b5eeec0c80eefe8487456.svg","turk16",145,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","81e80b5ad3cf81d3a3ae93c181b4f55e.svg","turk16",146,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","22bbabfb09460c9f6a0bc8b3c6553c21.svg","turk16",147,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","bc170c7687e39cc898317129c5700a83.svg","turk16",148,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
5,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.30","line-0.85496-cluster-0.88152","1, 13","7531bda60d632f7469429cb350328f4b.svg","turk16",149,"set-5-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","b01eecde9242f2a7fadddfc70e18b201.svg","turk16",140,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","20442a0f25b0da1a399d98ea58a4c5d6.svg","turk16",141,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","53a04fdff241eb3902159bb32c74ac79.svg","turk16",142,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","1fceecb88aa8ea2bb43ef718b1d35b2a.svg","turk16",143,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","d4f62c983a5bcedd6a481bc2bbea724f.svg","turk16",144,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","6124799ae36abec227f20ae04a5c4bc2.svg","turk16",145,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","a508d350493e37353822128a28690676.svg","turk16",146,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","cd8abfa800bb5839b6f5fddf16937af5.svg","turk16",147,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","fd61211ee99315e6f1810afefb7bc2e2.svg","turk16",148,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
6,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.30","line-0.83057-cluster-0.89883","1, 20","1686e7e985e8e9a1aaad72a42ec03cae.svg","turk16",149,"set-6-k-3-sdline-0.25-sdgroup-0.30",0
7,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","a5fa8cc145106b21d025067025d6175e.svg","turk16",170,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","bc87cff2fa39267da1b1e9a007b1ca08.svg","turk16",171,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","ac8e373520d0dd5bdf3b9994a5fe4b50.svg","turk16",172,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","3a6141a1169d08d6df2e7432e62a6e77.svg","turk16",173,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","1269635ed2620558462bd1609522bb8f.svg","turk16",174,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","69f80a54c55d332beeadc58f22e3aab9.svg","turk16",175,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
