"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
184,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","1a3884876d6782955972cfac8c41bd63.svg","turk16",133,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
185,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","98ca843243c3a12526eb170e04cd54e4.svg","turk16",134,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
186,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","6083d749aacd7403e93471955adea6e7.svg","turk16",135,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
187,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","da9bbbb9266c8406fde37744abd666ad.svg","turk16",136,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
188,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","d107cd35708045269de76ff315c615ad.svg","turk16",137,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
189,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","dbf2d09ccfb473508a6bafb17276cea4.svg","turk16",138,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
190,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","afcf35353b449921180c0e81c6281305.svg","turk16",139,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
191,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","5c17f428e2d1ea5ed8918cd600f21e3f.svg","turk16",130,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
192,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","eab3ce870e7bbc68753479ac072952be.svg","turk16",131,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
193,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","9dd3505365440b70ebd3214b377edaef.svg","turk16",132,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
194,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","737dbe1eaec0ee6aa61225e8b3c8d247.svg","turk16",133,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
195,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","57fc7504bec6e1b6d521d716a1e9e6b4.svg","turk16",134,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
196,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","92ec816803ea4f37c81e00b97dbf771d.svg","turk16",135,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
197,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","05a67e2d7482b30a73b2c7427c52e1cc.svg","turk16",136,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
198,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","e295f62a5cb2e3c2c8c023a528b1a6af.svg","turk16",137,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
199,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","7af2226b1db4fae595176af673b03a03.svg","turk16",138,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
200,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.25","line-0.64057-cluster-0.90492","1, 13","50ca481a31a95c98510d1c1894019438.svg","turk16",139,"set-20-k-3-sdline-0.45-sdgroup-0.25",0
201,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","c8a8622f76434ae68e6b14f415d5ebe8.svg","turk16",130,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
202,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","b0492e925450eb5346b59c574d096056.svg","turk16",131,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
203,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","890f176729708ba49d27f3e76962f8ac.svg","turk16",132,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
204,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","5df2142231575d430b6d01717ba19839.svg","turk16",133,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
205,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","f7a846fb984c014b3fa11caf9620c122.svg","turk16",134,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
206,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","4d7e17683303dc6991ad5f594c6092b3.svg","turk16",135,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
207,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","681acce0fd80ceb1d0b9070116d7c76c.svg","turk16",136,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
208,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","f8d0f88c6543cf2489b7cb167ae798ec.svg","turk16",137,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
209,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","8d84dfde0833fb9db6e0ff85f4467448.svg","turk16",138,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
210,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.25","line-0.67222-cluster-0.92418","1, 20","4480cea2931d2792936d6a34c0e8a5c6.svg","turk16",139,"set-21-k-3-sdline-0.45-sdgroup-0.25",0
211,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","a99157789fa93706307ddb2a731964b0.svg","turk16",160,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
212,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","9bed9799f349d6b3c5f15501a87576d0.svg","turk16",161,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
